year,meeting_number,speaker,speech,party
2004,19,Jacob Buksti (S),"Nu kan jeg så forstå, at det der med håndbogen er et spørgsmål om statsministerens mentalitet, for det er åbenbart statsministerens mentalitet, der på en eller anden måde kan fortælle, hvad den der håndbog er. Statsministeren er åbenbart en stor ekspert, og det var derfor, at jeg spurgte, om statsministeren ikke kunne videregive noget af sin store ekspertise til nogle af os andre, for så kunne det jo være, at vi kunne komme til at optræde mere efter statsministerens gemyt. Men er det ikke rigtigt, at de sager, som vi her taler om, er sager, som er blevet rejst i offentligheden? Er det ikke trælsfor nu at tale lidt jyskfor statsministeren at skulle stå her og agere i forhold til hele tre ministre, som altså er blevet fremstillet i medierne som agerende efter principper om kammerateri og vennetjenester? Er det også offentligheden og pressen, som har misforstået de her næsten sådan selvopofrende ministres ageren på den her arena, eller er det kun Socialdemokratiet?",S
2019,68,Julie Skovsby (S),"Tak for det, og tak til Alternativet for at have en styrkelse af biodiversiteten, klimaet og miljøet højt på partiets dagsorden og i dag også at sætte det på Folketingets dagsorden. Vi deler til fulde den vurdering, at der på folkekirkens jorder ligger et stort potentiale i forhold til netop at forbedre biodiversiteten, miljøet og klimaet, men Socialdemokratiet mener ikke, at beslutningsforslagets fremgangsmåde er den rigtige vej at gå, og derfor kan vi ikke støtte forslaget. Det er vores vurdering, at det griber afgørende ind i folkekirkens demokratiske struktur. Selve beslutningsforslaget, som det ligger, vil pålægge regeringen at iværksætte de nødvendige tiltag, for at folkekirkens ca. 11.000 ha jord omlægges til økologisk landbrug, naturområder og urørt skov. I dag er det ikke statens eller regeringens opgave, men derimod de lokale menighedsråds opgave, for folkekirkens jorder bliver forvaltet af menighedsrådene. Så i et forsøg på at være præcis i mine formuleringer vil jeg sige, at skal der ske ændringer i forvaltningen, skal det ske i forståelse med menighedsrådene og deres repræsentanter. Som sagt: I Socialdemokratiet forstår vi hensigten, og vi støtter intentionerne i forslaget, men må understrege, at folkekirkens demokrati skal respekteres og værnes. I den forbindelse kan det nævnes, at der netop i år er menighedsrådsvalg, og det er jo en oplagt mulighed til at gøre sin indflydelse gældende. Så afslutningsvis vil jeg gerne på vegne af Socialdemokratiet opfordre til aktivt at engagere sig i folkekirken og deltage i demokratiet her i dette forår.",S
2011,18,Inger Støjberg (V),"Det vil sige, at hr. Leif Lahn Jensen nu er uenig med sig selv, kunne man sige, for hr. Leif Lahn Jensen vil nu stemme for noget, han reelt er imod. Derudover er det også sådan, at hr. Leif Lahn Jensens formand jo tidligere har sagt, at det er dybt uretfærdigt, at de her penge ikke bliver udbetalt, og det samme har den nuværende økonomi- og vækstminister sagt. Derfor kan man sige, at det jo er en lidt bizar situation, vi i virkeligheden står i her i dag. Hr. Leif Lahn Jensen står og plæderer for et lovforslag, som hr. Leif Lahn Jensen så siger han egentlig helst ville stemme imod, men alligevel stemmer for, og alt, hvad der er blevet sagt tidligere fra både socialdemokratisk og Socialistisk Folkepartis side, løber man så også fra. Jeg tror ikke, man kan fortænke nogen i at være forvirret på et højere plan, vil jeg sige til hr. Leif Lahn Jensen. Den fg. formand (Karen J.",V
2004,37,Line Barfod (EL),"Jeg skal starte med at komme med konklusionen: Enhedslisten kan heller ikke støtte forslaget. Vi mener ikke, at den kriminelle lavalder skal sættes ned, og at børn skal kunne straffes. Så mener jeg, at det er vigtigt at understrege, som andre ordførere også har gjort, at vi i dag har nogle af de mest lovlydige unge nogen sinde i danmarkshistorien. Det synes jeg især er vigtigt at understrege, fordi vi jo for nylig har set resultatet af Ringstedforsøget, der viser, at det har utrolig stor påvirkning på unge, hvad de tror andre unge gør. Derfor er det også vigtigt, hvad vi. som politikere tegner som billedet af ungdommen i Danmark. Hvis vi er med til at tegne et billede af, at de fleste er kriminelle og drikker sig fulde og ryger osv., så påvirker det flere unge til at gøre det. Derfor er det meget vigtigt, når vi fører en debat, at vi så husker at sige, at det er en meget lille del af ungdommen, vi taler om, at langt de fleste faktisk er utrolig lovlydige. Når det så er sagt, vil jeg sige, at den lille gruppe, der er ude i alvorlige problemer, selvfølgelig er noget, vi skal tage meget alvorligt og klart gøre noget ved. Først og fremmest skal vi forebygge, at nogen kommer ud i kriminalitet, og der er det jo besynderligt, at Dansk Folkeparti kommer med det her forslag og går så højt op i, at vi skal gøre noget, når man samtidig har været med til at stemme for regeringens nedskæringer på det forebyggende arbejde, især -. som hr. Morten Bødskov har været inde påhele det boligsociale arbejde, som har stor betydning i forhold til at forebygge, at unge kommer ud i kriminalitet. Vi håber, at det er noget af det, vi på et tidspunkt kan være med til at genoprette, fordi det viser sig at have meget store, positive virkninger. ^ Så mener jeg, at noget af det, der er vigtigt, er, at man har en meget hurtig indsats og gør, hvad man overhovedet kan, for at unge kommer i forbindelse med systemet, som hr. Karsten Nonbo var inde på. Jeg synes, det var nogle meget gribende eksempler og meget gode til at illustrere: Hvad er det, der har betydning for at forhindre, at de unge får en plet på straffeattesten? For har de først fået den plet på straffeattesten, er det meget vanskeligere for dem at komme ud af kriminaliteten igen. Det, at de med det samme bliver sat til f.eks. at rydde op efter deres hærværk i en udgravning, gør jo, at de så ikke bagefter kan komme og leve op til at have været kriminelle og have tilbragt natten i arresten eller andet. Nej, det er ikke så sjovt at fortælle kammeraterne, at man er blevet sat til at rydde op efter sig selv. Og der tror jeg, det er vigtigt, at det er den vej, vi prøver at se på først. Det er jo det, der også lå i det forslag, vi fremsatte sidste år om konsekvens med virkning, hvor vi inspireret af det, vi hørte, da vi var i Canada med Retsudvalget, mente, at vi skal prøve at lave nogle forsøg rundtomkring i Danmark, hvor man netop går ind og tager fat i de unge med det samme, de har begået noget,.og sætter dem til at rydde op efter sig, sige undskyld til ofrene, eller hvad det nu kan være, der er nødvendigt i den konkrete situation, i stedet for at de skal i gang med at komme igennem retssystemet og få en plet på straffeattesten. For noget af det værste i forbindelse med, at en ung kommer 3258 (B 12) ind i en kriminel løbebane, er, at de får en plet på straffeattesten. En anden ting, som vi mener er væsentlig, er i højere grad at sikre konfliktråd og konfliktmægling, og derfor er det også så ærgerligt, at Dansk Folkeparti har nedlagt veto mod, at konfliktrådene kan udvides til hele landet, for vi tror, det har stor betydning ikke alene for ofrene, men også for de unge gerningsmænd, at de ser, at der faktisk er et menneske bag. Når de har begået indbrud, er det ikke bare nogle forsikringsselskaber, det går ud over, så er det faktisk nogle mennesker, der er blevet berørt af det, og de ofre får mulighed for at fortælle om, hvad det egentlig har betydet i deres liv. Det tror vi faktisk også kunne være med til at få nogle unge til at holde op med at begå indbrud eller andre former for kriminalitet, hvis de blev konfronteret med deres ofre. Og derfor håber vi, at det på et tidspunkt kan lykkes at komme uden om Dansk Folkepartis veto og få konfliktråd flere steder i landet. Så vi kan absolut ikke støtte de tanker, der ligger i Dansk Folkepartis forslag. Vi mener, det er nogle helt andre veje, vi skal gå for at få nedbragt kriminaliteten blandt børn og unge. (Kort bemærkning).",EL
2004,12,Walter Christophersen (DF),"Fordi vi vægter trafikselskaber højere end Århus Sporvejehvis det er svar nok. Den fg, formand",DF
2005,95,Torben Hansen (S),"Det er meget muligt, at ministeren ikke synes, Jørgen Mads Clausen har ret, men Jørgen Mads Clausen har i hvert fald en både virksomhedsmæssig og kommerciel baggrund, der gør, at han kan udtale sig med stor autoritet på dette område, og det kunne jo være, ministeren måske skulle lytte til noget af det. Vi havde fuldstændig den samme diskussion om biobrændsel, hvor den samme minister langt hen ad vejen var født i trillebørens tegn og skulle løftes og skubbes hele vejen, som vi sagde. Det ville være helt ulykkeligt, hvis det samme skulle ske her, for så kan ministeren jo ikke sige i de kommende forhandlinger, at det jo kan være, at nogle af dem, der rent faktisk har fingeren på pulsen, har ret. (Kort bemærkning).",S
2023,33,Statsministeren (Mette Frederiksen),"Helt generelt er vores mål jo, at standarden skal være den samme, selvfølgelig med den vigtige tilføjelse, at der er meget, meget stor forskel på Grønland og Danmark. Eksempelvis geografien spiller jo en helt, helt anden rolle. Selv om vi en gang imellem oplever, at der er for store forskelle i Danmark, så er de geografiske omstændigheder i Grønland jo fuldstændig anderledes, og derfor vil man jo ikke kunne lægge til grund, at vi vil kunne tilvejebringe tingene på præcis samme måde i Grønland, som det gælder i Danmark, på grund af vejr og geografi. En anden udfordring er jo manglen på medarbejdere, som vi oplever i Danmark, og som vi oplever i Grønland, og som kan se ud på en anden måde og have nogle andre konsekvenser. Så vores udgangspunkt er, at standarden skal være den samme, men med det forbehold, at forholdene er forskellige, og det skal vi selvfølgelig kunne tilrettelægge vores politik efter. Og som jeg sagde det før, er det også på det her område meget, meget vigtigt for os at have en tæt dialog med naalakkersuisut også i forhold til standardspørgsmål.",S
2013,90,Ole Birk Olesen (LA),"Ja, det er et rigtig fint system at stille sig op i en kø et sted, hvor der er 10 års ventetid. For når dem, der har en bolig, ønsker at flytte fra den, så sørger de via kreative byttearrangementer for at bytte med en datter eller en niece eller en søster eller lignende. Og således kommer der aldrig nogen sinde nye mennesker ind i det her system. Der er 10 års ventetid på helt almindelige boliger, og kun dem, der i forvejen er inde i systemet, fordeler dem til venner og familier. Det er rigtig fint. Fjerde næstformand",LA
2000,105,Jørn Jespersen (SF),"Jeg tror ikke, det er muligt at overbevise hr. Thor Pedersen om, at det er dybt uanstændigt i en verden med stigende ulighed, at,man fra et af de rigeste lande begynder at skære i ulandsbistanden, men man kunne måske forlange, at der bare var en vis systematik i tankegangen. Hr. Thor Pedersen nævnte selv, at det ville være en god idé at få andre lande til at opfylde løftet om at give 0,7 pet. af bruttonationalindkomsten i støtte. Det er jeg enig i der i høj grad er brug for. Et land som USA er i dag nede på under 0,1 pet., altså i virkeligheden en tiendedel af det, de har lovet de fattige lande at give. Derfor er spørgsmålet: Hvordan tror Venstre, at det vil virke internationalt, når det land, som hidtil har ligget suverænt i spidsen med hensyn til at opfylde sine løfter, også begynder at skære ned? Vil det så føre til, at de andre lande begynder at give mere, eller vil det føre til, at de lader være, på samme måde som hr. Thor Pedersen jo argumenterede med, at når de andre ikke gør, så kan vi også godt lade være? Tror hr. Thor Pedersen ikke, at den samme ubønhørlige logik vil blive brugt i andre lande, sådan at Venstre vil være med til at give et signal om, at nu kan man godt skære endnu mere ned? (Kort bemærkning).",SF
2012,33,Mai Henriksen (KF),"Det var i hvert fald svar nok til, at det var lig med et stort rundt nul, altså at der ikke er kommet nogen lovforslag. Når man ser det beslutningsforslag, som kommer fra Dansk Folkeparti, ville jeg umiddelbart tænke, at det var noget, som lige passede som fod i hose til ministeren. Altså, ministeren har jo været meget optaget af netop sådan en kortlægning, og det kan jeg forstå at Socialdemokraterne også har været, altså af kortlægningen af landdistrikterne, og hvilke indsatser der skal være. Og det her er jo en del, som kunne spille rigtig positivt ind i forhold til en sådan kortlægning, altså at man får nedsat en arbejdsgruppe – andet opfatter jeg i hvert fald ikke at det her beslutningsforslag vedrører – som får kigget på, om der er nogle statslige arbejdspladser, som eventuelt kunne udflyttes. Jeg tænker bare, at det jo ikke er noget, som er sådan meget sprængfarligt, eller noget, man sådan kan politisere over i mange dage. Jeg forstår simpelt hen ikke, hvorfor Socialdemokraterne ikke siger, at det faktisk er en god idé, at det egentlig passer godt i tråd med deres politik, at den køber de da, og siger tak for forslaget til Dansk Folkeparti og så sætter det i værk. Første næstformand",KF
2014,16,Schmidt (V),"Tak for det. Det kan jo glæde ethvert medlem af Folketinget, at der er så mange kollegaer til stede ved behandlingen af et lovforslag. L 46 behandler lovgrundlaget for etableringen af Danmarks Grønne Investeringsfond, hvilket lyder flot. Den grønne investeringsfond skal fremme den grønne omstilling i samfundet, skriver man i lovforslaget. Formålet er konkret at støtte investeringer foretaget af offentlige og private virksomheder, fonde, foreninger og almennyttige boligselskaber med lån til investeringer i foranstaltninger, som fører til energibesparelser og bedre udnyttelse af vores ressourcer. Fonden etableres med en egenkapital på op til 200 mio. kr. og en statsgaranteret låneramme på 5 mia. kr., så det er altså ikke småpenge, vi taler om på skatteborgernes vegne. Den her egenkapital opbygges over en årrække, i takt med at man investerer. Det hedder i lovforslaget, at formålet med fonden er at yde lån til projekter, som ikke ville være blevet igangsat uden den finansiering, som kan være med til at fremrykke projekterne, og det er noget, vi i Venstre bider mærke i, hvilket jeg vender tilbage til. Det foreslås i lovforslaget, at man kan yde lån på op til 60 pct. af projektomkostningerne; resten af finansieringen skal så stilles af virksomheden, den private organisation eller låntageren generelt. Det skal bemærkes, at Danmarks Grønne Investeringsfond åbner op for, at der også kan gives støtte til såkaldte ESCOprojekter. Det skulle være en model, hvorefter organisationen, den private, den offentlige eller andet, som ønsker at foretage en energieffektivisering, som giver en økonomisk besparelse over en årrække, kan tilbagebetale udgiften til sit projekt. Danmarks Grønne Investeringsfond placeres som en selvstændig enhed under Erhvervs- og Vækstministeriet, og formanden for bestyrelsen refererer til ministeren. Det er også ministeren, der udpeger formanden for bestyrelsen og selve bestyrelsen, som ifølge lovforslaget tæller 6 medlemmer. Mit parti, Venstre, er tilhængere af investeringer i grøn omstilling og initiativer, som fører til en mere hensigtsmæssig anvendelse af vores ressourcer og har potentiale til at skabe arbejdspladser, men her stopper enigheden med lovforslaget også. Læser man høringssvarene igennem, kan man se, at Dansk Industri anslår, at omkostningen pr. reduceret ton CO2 i Danmarks Grønne Investeringsfond kan blive op til 30.000 kr., og det er jo ikke småpenge. Godt købmandskab siger jo, at det, når man skal bruge skatteborgernes penge på at reducere 1 t CO2 til en pris af 30.000 kr., så er en temmelig dårlig forretning, når kvoteprisen på 1 t CO2 i dag ligger på et meget lille beløb – faktisk er vi helt nede på 225 kr. Og derfor må jeg som Venstres ordfører også spørge mig selv: Er det her et reelt forslag, der vil gøre en forskel for miljøet og den grønne omstilling, eller er det et paradeforslag baseret på Enhedslistens præmisser om, at vi bruger skatteborgernes surt opsparede penge til at finansiere projekter, der ikke kan betale sig i virkeligheden? Det, man skriver i lovforslaget, er sådan set, at når jeg går ned i banken og får et nej til mit projekt, så skal de danske skatteborgere i stedet være med til at finansiere det til en markedsmæssig overpris. Det er spild af skatteborgernes penge, og det kan Venstre naturligvis ikke være med til at støtte. Ville man fra regeringens side og med Enhedslisten og SF som støttepartier virkelig gøre en forskel med de danske skatteborgeres penge, kunne man jo købe miljøfiltre og sætte dem på skorstene i Østeuropa; det ville give en fornuftig miljømæssig forbedring kontra den måde, vi bruger vores grønne investeringsfond på i dag. Venstres holdning er, at det her er et paradeforslag, det er spild af skatteborgernes penge, det er et blålys, der ikke kommer til at gøre en reel forskel, det er symbol- og signalpolitik, og det koster for meget. Det bliver et klart nej tak herfra, og jeg glæder mig til debatten med mine kollegaer. Formanden : Tak til Venstres ordfører. Så er det hr. Thomas Jensen som socialdemokratisk ordfører. (Ordfører)",V
2023,42,(Birgitte Vind),"Ønsker ordføreren en anden kort bemærkning? Nej. Der er en kort bemærkning mere, og det er fra Pia Kjærsgaard, Dansk Folkeparti. Værsgo.",S
2022,69,Formanden (Søren Gade),"Tak. Nu er de 60 minutter gået, godt og vel endda. Derfor siger vi tak til statsministeren. Der er ikke flere, der har bedt om ordet, og derfor er forhandlingen sluttet. Og vi går til afstemning.",V
2016,33,Pelle Dragsted (EL),"Tak for det. I forhold til det her med, om det er en folkesag at hæve den her støtte, vil jeg sige, at jeg i hvert fald tror, det havde været en mere folkelig sag, hvis man havde gjort det mere åbent og gennemsigtigt og under inddragelse af f.eks. den her diskussion om også at skabe mere åbenhed om partiernes økonomi og den støtte, vi modtager fra private donorer og andre. Det tror jeg faktisk er noget, befolkningen er ret optaget af, og derfor er det også, at det ærgrer mig sådan, at man har skilt de to diskussioner ad. Så er der en anden ting. Den tidligere ordfører fru Mette Abildgaard sagde, at der ikke var et flertal for at gennemføre den her orlovsordning, uden at man altså også hævede gruppestøtten. Kan Venstres ordfører bekræfte det? Og hvad er det for et parti, der støtter den nuværende aftale, og som ikke ville støtte den, medmindre de fik penge til partierne? For det synes jeg da er en lidt interessant oplysning. Første næstformand",EL
2012,41,Flemming Møller Mortensen (S),"Det kunne man måske nok. Til gengæld ved vi også godt, at det her gør, at der er endnu flere her i Folketinget, som får berøring med dopingsagen, og det er måske lige nøjagtig derfor, at vi er så enige om det og løfter i flok. Men det er da fuldstændig korrekt, at når noget ligger på kulturområdet, andet på sundhedsområdet og noget tredje på det juridiske område, er der nogle grænseflader, som måske er uhensigtsmæssige. Jeg har siddet i opposition i 4 år frem til for 15 måneder siden. Fru Karin Nødgaard har været med til at understøtte den tidligere regering, som sad i 10 år, endda med en kulturminister, som markerede sig meget kraftigt på antidopingområdet. Derfor kan jeg sige: Ja, det kan da godt være. Jeg vil da godt kæmpe for, at vi kan få skabt mere entydighed i lovkomplekserne, men fru Karin Nødgaard har i hvert fald misset den chance i de 10 år, hvor fru Karin Nødgaards parti havde de afgørende mandater til at sikre regeringsflertallet.",S
2006,53,Poul Henrik Hedeboe (SF),"Nu tror jeg, vi skal have korsettet på fru Elisabeth Arnold, for forslaget her lægger jo lige præcis op til, at det ikke drejer sig om at underminere aftaleretten. Det drejer sig om at få lagt en bundgrænse, og derover kan aftaleretten fungere. Når der er en masse udbud af busruter, og de, der udbyder, skal have noget at konkurrere på, ser vi jo, at de lige præcis konkurrerer på forholdene for chaufførerne. Det er sådan set det mest oplagte sted at konkurrere, så jeg tror virkelig, vi skal have korsettet på fru Elisabeth Arnold. Det kunne bruges i denne anledning. (Kort bemærkning).",SF
2009,83,(Bent Bøgsted),Tak til ordføreren. Så er det hr. Per Ørum Jørgensen som ordfører for De Konservative. (Ordfører),DD
2018,90,Kenneth Kristensen Berth (DF),"Jeg havde lige et kort øjeblik glemt, at Venstre skulle hilse fra halvdelen af Folketingets partier. Derfor kom turen lidt hurtigere til mig, end jeg lige umiddelbart havde regnet med – sådan er det. Jeg vil godt starte med at sige tak for behandlingen af vores beslutningsforslag om at indeksere børnechecken, og jeg er i sagens natur ked af, at der i Folketinget ikke rigtig har vist sig noget flertal for at støtte vores forslag og følge Østrig. Det var jo faktisk en af de ting, som de fire borgerlige partier var enige om forud for sidste folketingsvalg, nemlig at vi ikke ville acceptere fuld børnecheck til børn, der ikke var bosiddende i Danmark, og som boede i et land med væsentlig lavere leveomkostninger end her. Som jeg også var inde på i et af mine spørgsmål, var situationen før valget i 2015 jo faktisk den, at et flertal her i Folketinget nægtede at bringe nationale danske regler om tildeling af børnecheck i overensstemmelse med EUreglerne. Vi står altså dermed i dag i en situation, hvor danske myndigheder administrerer contra legem, altså imod loven, fordi EUborgere ikke omfattes af det optjeningsprincip, som ellers er indeholdt i lovgivningen, og af det krav om, at man skal være bosiddende i Danmark for at have ret til børnecheck, som også er indeholdt i den. Udgangspunktet for lovgivning om tildeling af børnecheck er nemlig, at man optjener ret til den, når man har haft bopæl eller beskæftigelse i det danske rige i 6 år inden for de seneste 10 år forud for den periode, udbetalingen vedrører. Østrig har, som det fremgår af beslutningsforslaget, truffet beslutning om, at børnecheck til børn bosiddende i andre EUlande skal indekseres, så udbetalingen afspejler de reelle leveomkostninger i det pågældende land. Det er den østrigske opfattelse, at loven er i overensstemmelse med EUretten, idet forskelsbehandlingen jo alene er forbudt i EU, når der er tale om et usagligt kriterie. I Danmark forskelsbehandler vi allerede EUborgere, når det gælder retten til børne- og ungeydelse. Det gør vi nemlig derved, 62 (B 116) at har en person i husstanden en årsindkomst på over 782.600 kr., reduceres børne- og ungeydelsen med 2 pct. af det beløb, topskattegrundlaget overstiger 782.600 kr. med. Det, vi i Dansk Folkeparti ønsker, er blot, at hvor man kan nedsætte børne- og ungeydelsen som følge af en høj indtægt, skal man naturligvis også kunne nedsætte børne- og ungeydelsen som følge af lave leveomkostninger. Derfor er det også vores overbevisning, at Danmark vil stå endnu stærkere end Østrig over for EUDomstolen i tilfælde af et sagsanlæg mod Danmark for at gennemføre indeksering, fordi vi altså allerede i vores lovgivning indekserer børnechecken efter indkomst. Der er efter vores opfattelse slet ingen grund til at afstå fra at følge det østrigske eksempel. Det absolut værste, der kan ske, er, at dansk lovgivning underkendes af EUDomstolen, og det ville jo i så fald ikke være første gang. I Dansk Folkeparti mener vi, at vi skal turde udfordre EUlovgivningen – ellers kommer vi ingen vegne. Der har i årevis været forhandlinger om revision af forordning 883, uden at vi er kommet et skridt nærmere en mere rimelig tilgang til spørgsmålet om EUborgeres ret til velfærdsydelser i Danmark. Det kan ganske enkelt ikke være rigtigt, at danske skatteydere skal understøtte rumænske eller bulgarske børn med en børnecheck, der svarer til en månedsløn i de lande, for dermed er danske skatteydere til grin for deres egne penge. Erfaringer fra Tyskland har i øvrigt dokumenteret omfattende snyd med børnechecken blandt rumænere og bulgarere i byerne Wuppertal og Düsseldorf, og vi ved reelt ikke, om noget lignende pågår i Danmark, idet kontrolmulighederne jo er begrænsede. I Dansk Folkeparti mener vi, at det er vigtigt med ret og rimelighed, og der er ingen ret og rimelighed i at udbetale børnecheck til børn, der aldrig har været i Danmark, og som har langt lavere leveomkostninger end her. Derfor vil vi kraftigt opfordre partierne til at genoverveje deres stillingtagen til forslaget, så vi kan stå side om side med østrigerne og være med til at udfordre EUsystemet. Fjerde næstformand",DF
2018,31,Udlændinge Og Integrationsministeren (Inger Støjberg),"Til det første spørgsmål vil jeg sige: Jo, der er en stor forskel i sammenligning med kineseres og vietnameseres evne til både at forsørge sig selv og, kan man sige, falde ind i den helt almindelige danske hverdag. Og til det andet vil jeg sige, at jeg i hvert fald kan konstatere, at det jo ikke er buddhister, jøder og hinduer, der underlægger deres kvinder social kontrol, det er det ikke, og der er da ingen tvivl om, at hvad angår social kontrol, æresrelaterede konflikter – en dyb kløft, når det handler om accepten af ytringsfrihed, religionsfrihed og ligestilling – så er det jo ikke jøder, hinduer eller buddhister, der er repræsenteret der. Første næstformand",DD
2001,33,Theil (EL),"... de 500 mio. kr. Det kompenserer rapporten ikke for. Jeg synes, hele denne her debat viser, at man skærer, og man slagter, og den måde, man kommer uden om det på, er ved at komme med nogle luftige fraser. Regeringen har reelt ikke noget at sætte i stedet for den fri ungdomsuddannelse, ikke noget at sætte i stedet for de daghøjskoler, som de lukker, og ingen tilbud til dem, som nu ikke hat råd til at gå på aftenskole. De har ingenting at sætte i stedet for. Der er ingen visioner, i hvert fald kan de ikke finde ud af at præsentere dem heroppefra. Jeg synes, det er sørgeligt. Den konservative ordfører sagde, at vi alle sammen ville blive berørt af de besparelser, som regeringen nu gennemfører. Den kommentar synes jeg siger det hele. Vi skal alle sammen bøde for den nye regerings politik. Jamen de får det jo til at lyde, som om vi er et land i krise. Det er vi ikke. Der er penge nok. Der er penge nok til mere og bedre og alsidigere uddannelser. Det er en politisk prioritering, det her. Det er et politisk valg at slagte den fri ungdomsuddannelse. Det er et politisk valg at lukke en stor del af daghøjskolerne. Det er et valg at forringe arbejdsløses uddannelsesmuligheder, og det er et valg, som samfundet som helhed skal bøde for. Det er trist for os, der synes, at der skal være plads til livslang læring, at der skal være plads til, at man skal kunne komme ind på arbejdsmarkedet igen efter at være skubbet ud i en periode. Der skal være plads til de skæve unge. Det er trist for os, som er villige til at betale over skattebilletten, for at alle kan få en plads i det her samfund. På den måde har både L 78 og L 79 og debatten i forbindelse med denne her forespørgsel vist os, at det er meget, meget trist. For Venstre og for De Konservative og Dansk Folkeparti er det vigtigere, at de rigeste i vores samfund skal betale mindre i skat, end det er, at alle folk kan få en uddannelse og komme ind på arbejdsmarkedet igen. Hermed sluttede forhandlingen. Afstemning Forslag til vedtagelse nr. V 25 af Aage Frandsen (SF), Frank Jensen (S), Marianne Jelved (RV), Pernille RosenkrantzTheil (EL) og Bodil Kornbek (KRF) (se foran) forkastedes, idet 44 (S, SF, RV, EL og KRF) stemte for, 56 (V, DF og KF) imod. Hermed sluttede forespørgslen. Den næste sag på dagsordenen var: 8) Første behandling af lovforslag nr. L 112: Forslag til lov om ændring af lov om friskoler og private grundskoler m.v., lov om folkehøjskoler, efterskoler, husholdningsskoler og håndarbejdsskoler (frie kostskoler), lov om produktionsskoler, lov om gymnasiet m.v., lov om kursus til højere forberedelseseksamen og om studieforberedende enkeltfagsundervisning for voksne m.v. (Forenkling af tilskudsregler m.v.). Af undervisningsministeren (Ulla Tørnæs). (Fremsat 21/2 2002). Lovforslaget sattes til forhandling.",EL
2016,51,Søren Espersen (DF),"Men regeringen skal da ikke føre dopingpolitik. Det skal man da overlade til IOC. Med hensyn til hvad vi gør her internt i forhold til vores egne forhold her i Danmark, er det da klart, at der er politiske interesser indblandet i de ting. Men regeringen skal da ikke sidde og fortælle IOC, hvordan de skal afgøre deres forskellige kontroverser, som de har haft bunker af. 10 (F 8) Nej, jeg er ikke længere bekymret, for i de 1012 år, der er gået, er alting jo gået godt. Der har ikke været nogen som helst ting at sætte en finger på i forbindelse med kronprinsens engagement i IOC. Derfor er jeg ikke bekymret længere, men det var jeg da inden, netop af samme grund som den, Holger K. Nielsen nævner, nemlig at kronprinsen er tronfølger og derfor i mine øjne har den samme status, som hvis det havde været Danmarks monark. Det må man holde fast i. Man kan ikke skille de to ting ad, og derfor var det også væsentligt, at der blev nedsat en gruppe, der kunne følge med i, hvad der skete. Den fg. formand (Karen J.",DF
2011,9,John Dyrby Paulsen (S),"Jeg er meget, meget tilfreds med det regeringsgrundlag, vi har lavet. Det er jo et meget smukt udtryk for den demokratiske tradition, der er, nemlig at hvis man ikke har 90 mandater, så må man sætte sig ned i et forhandlingsrum og blive enige. Og der må hvert parti give noget for at få noget. Sådan er demokratiets spilleregler. Det vil jeg godt minde Dansk Folkeparti, som jo tilsyneladende har været vant til noget andet de sidste 10 år, om. Vi kan ikke få gennemført noget, heller ikke de ting, vi meget gerne ville, hvis vi ikke har 90 mandater. Derfor har vi sammen med De Radikale og SF lavet et regeringsgrundlag, som jeg er utrolig glad for. Det er et meget, meget effektivt redskab til at skabe job og vækst i Danmark. Så blev der spurgt meget konkret, og ja, vi holder også de løfter, vi har givet på integrations- og udlændingeområdet. Det er rigtigt, at der er nogle overvejelser om at lempe reglerne for at få øget arbejdskraftudbuddet i Danmark, den dag det bliver nødvendigt, og de regler bliver jo forhandlet med de partier, der er relevante i den her sammenhæng. Samlet set må jeg bare sige, at de to kernekrav, vi nævnte før valget, også holder, og de kan genfindes i regeringsgrundlaget.",S
2019,31,Troels Ravn (S),"Jeg tror, det er vigtigt at sige, at intentionerne i det her lovforslag er Socialdemokratiet sådan set enig i. Det er okay at kigge på de afgifter, vi har, og hvis ikke en afgift giver mening i forhold til en god adfærd eller sundhed, hvis det er en fjollet afgift, som det tidligere er blevet sagt i debatten, hvis det er en afgift, der giver unødig stort bureaukrati for eksempelvis en virksomhed, så vil det være rigtig, rigtig fint, hvis vi kunne komme sådan en afgift til livs. Men på bundlinjen står stadig væk, at tiltagene skal finansieres, og det, der er hovedproblemet for Socialdemokratiet i forhold til det her beslutningsforslag, er, at der mangler en finansiering, og det er altså ikke småpenge, vi taler om. Det er flere milliarder kroner, der skal til for at finansiere de her forslag til afgiftslettelser. Den fg. formand",S
2024,56,Finansministeren (Nicolai Wammen),"Jeg har ikke set den pågældende leder i avisen. Men jeg vil jo blot sige, at det er velkendt, at Danmark giver et bloktilskud til Grønland. Det er jo en del af det samarbejde, vi har mellem Danmark og Grønland. Så vil jeg i øvrigt ikke gå yderligere ind i den diskussion i respekt for, er der udskrevet et valg i Grønland.",S
2005,98,(Niels Helveg Petersen),Lovforslaget vil nu blive sendt til statsministeren. Den næste sag på dagsordenen var: 17) Tredje behandling af lovforslag nr. L 199: Forslag til lov om ændring af lov om tinglysning og forskellige andre love. (Digital tinglysning). Af justitsministeren (Lene Espersen). (Fremsat 31/3 2006. Første behandling 21/4 2006. Betænkning 23/5 2006. Anden behandling 30/5 2006). Der var ikke stillet ændringsforslag. Lovforslaget sattes til forhandling. Ingen bad om ordet. Afstemning Lovforslaget vedtoges enstemmigt med 111 stemmer. Fjerde næstformand,RV
